row_type,epoch,global_step,lr,epoch_seconds,eval_performed,selection_score,improved,epochs_without_improve,early_stop_triggered,train/data_wait_fraction,train/data_wait_seconds,train/loss,train/noise_gate_loss,train/pesq_proxy_loss,train/predicted_pesq,train/sisdr_loss,train/spectral_loss,train/speech_preserve_loss,train/step_compute_seconds,train/teacher_mask_loss,train/teacher_wave_loss,train/wave_loss,val_rank/composite_count,val_rank/count,val_rank/delta_snr_count,val_rank/delta_snr_mean,val_rank/dnsmos_count,val_rank/pesq_count,val_rank/pesq_mean,val_rank/sample_rate,val_rank/sisdr_count,val_rank/sisdr_mean,val_rank/stoi_count,val_rank/stoi_mean,val_select/composite_count,val_select/count,val_select/delta_snr_count,val_select/delta_snr_mean,val_select/dnsmos_count,val_select/pesq_count,val_select/pesq_mean,val_select/sample_rate,val_select/sisdr_count,val_select/sisdr_mean,val_select/stoi_count,val_select/stoi_mean
epoch,1,1219,0.0005,180.68269378200057,1,2.3918890152457197,1,0,0,0.009904261792889916,1.7746944635582622,0.10965236569766239,0.0,0.0,0.0,0.0,0.08343514495386366,0.0,177.41023629345,0.1458025450181824,0.03862225224735357,0.0012827507112579384,0.0,128.0,128.0,0.02512287173682928,0.0,128.0,2.409020976163447,16000.0,128.0,5.00492525100708,128.0,0.8352092545681168,0.0,1690.0,1690.0,-0.4076310064085391,0.0,1690.0,2.3918890152457197,16000.0,1690.0,4.841872692108154,1690.0,0.8332971943519637
epoch,2,2438,0.0005,189.56530906501575,1,2.451068845514715,1,0,0,0.010429745965122498,1.975622309546452,0.08443663026938876,0.0,0.0,0.0,0.0,0.07871715920970418,0.0,187.4462788712699,0.10888453049797617,0.029193340219294466,0.0012517234331899925,0.0,128.0,128.0,0.24303055452697322,0.0,128.0,2.4689240464940667,16000.0,128.0,5.445435523986816,128.0,0.8425763156025661,0.0,1690.0,1690.0,-0.1632897529631411,0.0,1690.0,2.451068845514715,16000.0,1690.0,5.291165828704834,1690.0,0.839649547829129
epoch,3,3657,0.0005,168.0413970160007,1,2.4583159134232786,1,0,0,0.009621524983096725,1.6159217577951495,0.07932988416718302,0.0,0.0,0.0,0.0,0.07790085049903814,0.0,166.33268936508102,0.10144919223038264,0.027100953632557705,0.0012485560857640446,0.0,128.0,128.0,0.18435154929644815,0.0,128.0,2.475372901186347,16000.0,128.0,5.5293779373168945,128.0,0.8465846432044132,0.0,1690.0,1690.0,-0.19654050777905194,0.0,1690.0,2.4583159134232786,16000.0,1690.0,5.399484634399414,1690.0,0.844113750627641
epoch,4,4876,0.0005,161.24055188999046,1,2.4673236195857706,1,0,0,0.009333344840919593,1.5041850397537928,0.07579241666738082,0.0,0.0,0.0,0.0,0.07723592567067346,0.0,159.658299084811,0.0963407748480426,0.02561024114125889,0.0012359609083926505,0.0,128.0,128.0,0.3594016236593432,0.0,128.0,2.477548962458968,16000.0,128.0,5.817448616027832,128.0,0.8485587915501625,0.0,1690.0,1690.0,-0.019389277989156017,0.0,1690.0,2.4673236195857706,16000.0,1690.0,5.687939643859863,1690.0,0.8462002028514741
epoch,5,6095,0.0005,161.3183925510093,1,2.500863772948113,1,0,0,0.009212394957380006,1.4854030268907081,0.07346037712018445,0.0,0.0,0.0,0.0,0.07690050384187132,0.0,159.75421313836705,0.09294062522197963,0.02464369487420788,0.00123188899942388,0.0,128.0,128.0,0.3523099513520812,0.0,128.0,2.514523864723742,16000.0,128.0,5.73256254196167,128.0,0.8498897600662005,0.0,1690.0,1690.0,-0.07992556527932113,0.0,1690.0,2.500863772948113,16000.0,1690.0,5.526081085205078,1690.0,0.8462911779697554
epoch,6,7314,0.0005,177.33510119200218,1,2.5157548178582503,1,0,0,0.008728844015206677,1.5470538045919966,0.07164737506722993,0.0,0.0,0.0,0.0,0.0766767535459516,0.0,175.68761803704547,0.09029770255626667,0.023868952084017934,0.0012288909038556304,0.0,128.0,128.0,0.19515823809761493,0.0,128.0,2.5299988901242614,16000.0,128.0,5.54756498336792,128.0,0.8501241127090264,0.0,1690.0,1690.0,-0.20143710576630622,0.0,1690.0,2.5157548178582503,16000.0,1690.0,5.413863658905029,1690.0,0.8472416855658015
epoch,7,8533,0.0005,158.78005609300453,1,2.5259557483464303,1,0,0,0.010146203036777338,1.6102624793129507,0.07057950891694932,0.0,0.0,0.0,0.0,0.07639426154323638,0.0,157.0956567178655,0.08878849929930539,0.023389069792845878,0.0012210240814453975,0.0,128.0,128.0,0.3551269146988758,0.0,128.0,2.537197998724878,16000.0,128.0,5.700890064239502,128.0,0.8507013650544634,0.0,1690.0,1690.0,-0.04149960820183649,0.0,1690.0,2.5259557483464303,16000.0,1690.0,5.574836730957031,1690.0,0.8482631427132453
epoch,8,9752,0.0005,175.39577602598,1,2.5365050536641003,1,0,0,0.00951013037327761,1.6672630644170567,0.06931263704075981,0.0,0.0,0.0,0.0,0.07622437414402254,0.0,173.6471647064027,0.08695454483850262,0.022825005759925895,0.0012205887239306425,0.0,128.0,128.0,0.267098564629689,0.0,128.0,2.540942451916635,16000.0,128.0,5.5552167892456055,128.0,0.8511055182285149,0.0,1690.0,1690.0,-0.14726825364643414,0.0,1690.0,2.5365050536641003,16000.0,1690.0,5.424455642700195,1690.0,0.8481613185182818
epoch,9,10971,0.0005,150.67735544999596,1,2.5320115729196537,0,1,0,0.00899953972066901,1.3555098149809055,0.06830314081085814,0.0,0.0,0.0,0.0,0.07598781622976823,0.0,149.26439487500465,0.0855155430086281,0.022382560419873736,0.0012151427048484246,0.0,128.0,128.0,0.31419446244232646,0.0,128.0,2.535583108663559,16000.0,128.0,5.771984577178955,128.0,0.8533288179961849,0.0,1690.0,1690.0,-0.09005749760888505,0.0,1690.0,2.5320115729196537,16000.0,1690.0,5.615696430206299,1690.0,0.8490837467088419
epoch,10,12190,0.0005,152.60013431697735,1,2.5552622910787366,1,0,0,0.00883575112455414,1.3478190413152333,0.06758973558324101,0.0,0.0,0.0,0.0,0.07601797775081966,0.0,151.1937161734677,0.08445108957264734,0.022065531129324602,0.0012167613355088,0.0,128.0,128.0,0.25760435896370293,0.0,128.0,2.560092498548329,16000.0,128.0,5.542792797088623,128.0,0.8527706042725307,0.0,1690.0,1690.0,-0.14873753496009254,0.0,1690.0,2.5552622910787366,16000.0,1690.0,5.399101257324219,1690.0,0.8491468866375793
