cell,bandwidth,split,metric,value
S0-NB,nb,val_rank,stoi_mean,0.8557845061068546
S0-NB,nb,val_rank,sisdr_mean,5.755263805389404
S0-NB,nb,val_rank,delta_snr_mean,0.3159939380886285
S0-NB,nb,val_select,bandwidth,nb
S0-NB,nb,val_select,reference_bandwidth,nb
S0-NB,nb,val_select,sample_rate,8000
S0-NB,nb,val_select,pesq_mode,nb
S0-NB,nb,val_select,count,1690
S0-NB,nb,val_select,pesq_count,1690
S0-NB,nb,val_select,stoi_count,1690
S0-NB,nb,val_select,sisdr_count,1690
S0-NB,nb,val_select,delta_snr_count,1690
S0-NB,nb,val_select,composite_count,0
S0-NB,nb,val_select,dnsmos_count,0
S0-NB,nb,val_select,pesq_mean,3.2169443472602666
S0-NB,nb,val_select,stoi_mean,0.853526176209887
S0-NB,nb,val_select,sisdr_mean,5.598626613616943
S0-NB,nb,val_select,delta_snr_mean,-0.11496050407490528
S0-NB,nb,test,bandwidth,nb
S0-NB,nb,test,reference_bandwidth,nb
S0-NB,nb,test,sample_rate,8000
S0-NB,nb,test,pesq_mode,nb
S0-NB,nb,test,count,824
S0-NB,nb,test,pesq_count,824
S0-NB,nb,test,stoi_count,824
S0-NB,nb,test,sisdr_count,824
S0-NB,nb,test,delta_snr_count,824
S0-NB,nb,test,composite_count,0
S0-NB,nb,test,dnsmos_count,0
S0-NB,nb,test,pesq_mean,3.615132917622918
S0-NB,nb,test,stoi_mean,0.9294004324577685
S0-NB,nb,test,sisdr_mean,9.070931434631348
S0-NB,nb,test,delta_snr_mean,-0.14187966250231823
